"Titulo","Precio","URL"
"Smartwatch Reloj Inteligente Bluetooth T500 Plus Malla 42mm","12.149","https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=9zy068ifAIjKPH1DXmE%2BoZCpwhO7CGu9z1g4W38%2BlBpvQaDPgRiyiWEnUmv%2FcWyI%2FhxbNaRiVTTdtucOZ4sudqDU7IZ0aE5sdTDm4PqspRyl89WFaNAlFpzjOdzI4GyPKJRDPR3lEsiVIvvCku%2FKLQFbcsDPUkGQ49nYfR2m3%2FP5TsVF%2B%2Fs1gTtnLV5FhoYMwSF2oFNqLeilla%2FvD033YmGaISOKac457rjouFxH1fRDhI0NoLFxkjcFGdceaN5wZ5oi7rquwc1p8%2FL5E%2F%2BG5dFmfFQRdQq%2Bx1POc4uEJYuwC5zzGgI5b7KxvTYTheAOIRZ4P3G1%2F9bW18KCfJhtRP7JCnphUsFMQCSot6sVdLxuYyK6QkCiFIGsw3FfrC%2FwZng5TWv44tCXwUj5uH%2FlRA2tFhMavkJqEQOFltbKg3Sbzr8rEUbYhlPmz5w0gHR%2BxAMfOu97YwuiGu%2BwyrVitSa5L%2FCmXefUC4edNr3iZfXiOUoVtAlluYj4bJz7nU9fApqiPpLHzCpqn8fcHpjAtGXKTqEEiWie5KeI7T2uUJm9AzPkf%2F19qzgbcYYCGJUHrC9oME4e73Ut9zSvrXC3not2PyjKBX575o6Fzq6y%2BCoQnQNght9cPqTPXF%2BdySgx46rrcRq3Xeey%2BwDu1nWCG6SD0g%2FciY%2FLXUZu9FihWsi7JhlbLRauxxN5QNk8zL3J%2F7g2YqoxGghQIGkmC32lqkOiv218uxoQOWRTeg%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2B16026%2Cmclics%2Frolling-layout%2B20432%2Cmclics%2Fshow-pads-global%2B5176%2Cmclics%2Fshow-pads-search-list%2B5146&rb=x"
"Smart Watch Zl02d Reloj Inteligente Para Samsung Xiaomi Y +","13.56814","https://articulo.mercadolibre.com.ar/MLA-1255215426-smart-watch-zl02d-reloj-inteligente-para-samsung-xiaomi-y--_JM#position=27&search_layout=stack&type=item&tracking_id=06ff94ba-4495-4894-a125-62055a004b52"
"Smartwatch Reloj Inteligente T900 Pro Max L Para Android Ios","9.57013","https://articulo.mercadolibre.com.ar/MLA-1368925947-smartwatch-reloj-inteligente-t900-pro-max-l-para-android-ios-_JM#position=28&search_layout=stack&type=item&tracking_id=06ff94ba-4495-4894-a125-62055a004b52"
"Smart Watch Reloj Inteligente Hombre P/ Moto Xiaomi Samsung ","13.7745","https://articulo.mercadolibre.com.ar/MLA-919003214-smart-watch-reloj-inteligente-hombre-p-moto-xiaomi-samsung-_JM#position=29&search_layout=stack&type=item&tracking_id=06ff94ba-4495-4894-a125-62055a004b52"
"Smartwatch Microwear W26 1.75"" caja de  aleación de zinc  oro rosa  malla  rosa","4.000","https://www.mercadolibre.com.ar/smartwatch-microwear-w26-175-caja-de-aleacion-de-zinc-oro-rosa-malla-rosa/p/MLA16140522?pdp_filters=category:MLA352679#searchVariation=MLA16140522&position=2&search_layout=stack&type=product&tracking_id=06ff94ba-4495-4894-a125-62055a004b52"
"Smartwatch Microwear Series 6 W26+ Plus W26+ Plus 1.75"" caja 40mm de  aleación de zinc  black  malla  black de  silicona black y bisel  black de  plástico","3.999","https://www.mercadolibre.com.ar/smartwatch-microwear-series-6-w26-plus-w26-plus-175-caja-40mm-de-aleacion-de-zinc-black-malla-black-de-silicona-black-y-bisel-black-de-plastico/p/MLA18628975?pdp_filters=category:MLA352679#searchVariation=MLA18628975&position=3&search_layout=stack&type=product&tracking_id=06ff94ba-4495-4894-a125-62055a004b52"
"Reloj Smartwatch Inteligent Mujer P/ Samsung Xiaomi Moto Iph","14.999","https://articulo.mercadolibre.com.ar/MLA-928321768-reloj-smartwatch-inteligent-mujer-p-samsung-xiaomi-moto-iph-_JM#position=30&search_layout=stack&type=item&tracking_id=06ff94ba-4495-4894-a125-62055a004b52"
"Smartwatch Bluetooth Reloj Inteligente Deportivo Y68","2.69910","https://articulo.mercadolibre.com.ar/MLA-1143323112-smartwatch-bluetooth-reloj-inteligente-deportivo-y68-_JM#position=31&search_layout=stack&type=item&tracking_id=06ff94ba-4495-4894-a125-62055a004b52"
"Smartwatch Inteligente Reloj Notificaciones T500 Plus Negro","12.149","https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=W%2Brzi1oyopgvpePT7%2BMul%2FhQPRLzklhsbmu6oFppRl6YN5INl0%2BLduu%2F417jk1tupHN62uiZObrci5PF4y6fq%2FYSt%2B5khT0fOsMPebcsxKFKjOAnURgB7yRg%2BhYMWEE26k7Ze0t9HqTRXdyVRFgwDEZhHP3eUTBhk23HMbfB07bErx4N6LiAUItBywUB%2BqlvidpBKNrZ6hwc3DiVEDZ%2B1C%2BIQ%2BYI%2FWxRC%2FNHIGUTXjnC6pwvHhXS8MvyZKuZDPQeO5WLST9foFO7LaqRb2WepBPyF2kn%2B2WUbLpzhDBwWXwku4bBHx7D%2FcBKMM9jSFzWyKsBdnzgIuVUQfJGw9hmYZDOQWr8awciMCweq%2BVeL1%2FWcICVHEACCiFPcQ%2FcPdoCHcxI%2B8PvhQ2GmjjfkIhkdUrZaoAtBGP3c8bBgtAMgWfy0SBO2%2FH4yIorBTrZXi%2FFDmJceToYBwEwB0lVgEkuC5IWe%2F%2BwzNzxK6fI%2FeqaAMlOYZLFjATyDRKp1U2zfhzKq4j9pnqTabFpBg4iiMO9XYpWsrNTMdwXIwlgfUJQ9xk%2FCmxWEUxbIhJPbYHao0iIprWbP9Kfr7wqIuMyW9AuVdq7zqU2mYBPou9TIXCwDEi3oWkiNn2maLpHhEKGGSzkqXHCFIcONx%2Fx9jgv4yQD3A5b6p7it90120hGU0SCel9oVaxcm2dUB0GwQ48D%2Blzza5bFbeitAjof%2FibBQNcdIgJo7q1DBPiym%2BAU&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2B16026%2Cmclics%2Frolling-layout%2B20432%2Cmclics%2Fshow-pads-global%2B5176%2Cmclics%2Fshow-pads-search-list%2B5146&rb=x"
"Reloj Inteligente Smartwatch Deportes Fitness Cardio Y68 D20","5.8895","https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=5BupzXLCnma0qF9cfnzDZatt%2Bu4auLQHVMdgPysi1L1PiaM0zKAVHS03G2rghtyWipLLpf%2BH6BxITdLFi6ZdcgzK4iV0gvPNySPIItlX43QcC2pWSBKavYKgpySaBr0NNBCglP0LQ%2BUgrjC%2FZRERWVSrfYQ3JrSfXe82KnBSaTRzKEvjqvETBIAyODbvaz%2BQ%2BsyD3aXhnmv%2FiyBJbpiUmieovQA8rIKQNMxLtBBGp6uyPCu9XXQg%2FwgPAsKu7ZnL2TZZTDhp6NzPOuNzH2d7GYvOi1ljWUrbObraVusGpmNss%2FYUmQ891Cs52IsE829Iyu4fRkMTn4u7GrfABBJSd%2BEZ4km3jCO9ajKu%2FUk4ufhselrZe3OQ8rC6kpFxw9fDoejBvewBEdIcjBzaFYcbH3JYm37hg9K8BAjY1hPw6dKeFAijv6Xu3tBcafMEBl8NVSBTBUyKjc59FidTBwOViKasf3Rdta%2BDLOhy091pSuND09qOVCjJlufCWEJFvMLdQ4O7Tg%2BpinbLl3L8sRe2YrwBOc%2BE%2FohYtEECSl59COk1sOf4oUwh5YzDLwcm4Xr04pPq%2FToLqnSr6zAhn%2FPyM6frRUOWXYVbaCC3l%2Brp%2BoUFZOmvGgS3m%2B2CBka%2BqjptpcdzTYDJtguAO4hWbQVYOpk0dwRsa46i%2BdCW27dnNEgWQald%2FJNT9FybknGAwJp%2FrpK5IKnIllb4VH2eGOjmDpxcP0zIIbRadRVYi7s%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fsearch-list-ad-algorithm%2B16026%2Cmclics%2Frolling-layout%2B20432%2Cmclics%2Fshow-pads-global%2B5176%2Cmclics%2Fshow-pads-search-list%2B5146&rb=x"
